SIRA NO,URUN NO,LINK-AD,SPOR DALI,MARKA,FIYAT,TUM YILDIZ,TUM YORUM
1,338961,https://www.decathlon.com.tr/p/erkek-outdoor-kar-botu-su-gecirmez-siyah-nh100-mid/_/R-p-338961?mc=8737445&c=S%C4%B0YAH,outdoor_sporlar,Quechua,₺2.050,,3133
2,332649,https://www.decathlon.com.tr/p/cocuk-su-gecirmez-outdoor-kar-botu-siyah-sh100/_/R-p-332649?mc=8648748&c=S%C4%B0YAH,outdoor_sporlar,Quechua,₺1.750,,3426
3,312022,https://www.decathlon.com.tr/p/kadin-outdoor-kar-botu-su-gecirmez-siyah-nh100/_/R-p-312022?mc=8581754&c=S%C4%B0YAH,outdoor_sporlar,Quechua,₺1.990,,1955
4,108105,https://www.decathlon.com.tr/p/erkek-su-gecirmez-outdoor-kar-botu-siyah-sh100/_/R-p-108105?mc=8344304&c=GR%C4%B0,outdoor_sporlar,Quechua,₺1.250,,2525
5,307238,https://www.decathlon.com.tr/p/kadin-outdoor-kar-botu-su-gecirmez-siyah-nh500-mid/_/R-p-307238?mc=8738739&c=S%C4%B0YAH,outdoor_sporlar,Quechua,₺2.750,,3767
6,346370,https://www.decathlon.com.tr/p/kadin-outdoor-kar-botu-su-gecirmez-siyah-nh100-mid/_/R-p-346370?mc=8800108&c=S%C4%B0YAH_GR%C4%B0,outdoor_sporlar,Quechua,₺2.050,,994
7,340155,https://www.decathlon.com.tr/p/kadin-outdoor-kar-botu-su-gecirmez-bej-nh500-high/_/R-p-340155?mc=8802419&c=BEJ,outdoor_sporlar,Quechua,₺2.550,,1905
8,335288,https://www.decathlon.com.tr/p/cocuk-kar-botu-1-3-yas-kahverengi-lacivert-500/_/R-p-335288?mc=8942884&c=KAHVERENG%C4%B0_MAV%C4%B0,outdoor_sporlar,Wedze,₺1.150,,833
9,108086,https://www.decathlon.com.tr/p/kadin-su-gecirmez-outdoor-kar-botu-gri-sh100-mid/_/R-p-108086?mc=8344698&c=PEMBE_GR%C4%B0,outdoor_sporlar,Quechua,₺1.250,,1261
10,344259,https://www.decathlon.com.tr/p/erkek-outdoor-kar-botu-siyah-nh500-high/_/R-p-344259?mc=8785598&c=S%C4%B0YAH_RENKS%C4%B0Z,outdoor_sporlar,Quechua,₺2.850,,1120
11,301402,https://www.decathlon.com.tr/p/erkek-outdoor-kar-botu-su-gecirmez-siyah-nh100/_/R-p-301402?mc=8501300&c=S%C4%B0YAH,outdoor_sporlar,Quechua,₺1.990,,653
12,351123,https://www.decathlon.com.tr/p/erkek-outdoor-kar-botu-su-gecirmez-siyah-nh100-high/_/R-p-351123?mc=8851794&c=S%C4%B0YAH,outdoor_sporlar,Quechua,₺1.990,,553
13,340149,https://www.decathlon.com.tr/p/kadin-outdoor-kar-botu-su-gecirmez-siyah-mh500-mid/_/R-p-340149?mc=8756995&c=S%C4%B0YAH,outdoor_sporlar,Quechua,₺3.850,,346
14,350703,https://www.decathlon.com.tr/p/erkek-outdoor-kar-botu-su-gecirmez-deri-hibrid-kahverengi-nh500-mid/_/R-p-350703?mc=8928705&c=S%C4%B0YAH_KAHVERENG%C4%B0,outdoor_sporlar,Quechua,₺3.350,,846
15,307054,https://www.decathlon.com.tr/p/erkek-outdoor-kar-botu-su-gecirmez-bej-siyah-sh500-mid/_/R-p-307054?mc=8928703&c=MAV%C4%B0,outdoor_sporlar,Quechua,₺2.750,,4954
16,348272,https://www.decathlon.com.tr/p/kadin-outdoor-kar-botu-su-gecirmez-bej-nh500-mid/_/R-p-348272?mc=8811473&c=KAHVERENG%C4%B0_BEJ,outdoor_sporlar,Quechua,₺3.350,,754
17,332914,https://www.decathlon.com.tr/p/kadin-outdoor-kar-botu-su-gecirmez-bej-nh500/_/R-p-332914?mc=8644860&c=BEJ,outdoor_sporlar,Quechua,₺3.450,,889
18,307314,https://www.decathlon.com.tr/p/cocuk-su-gecirmez-outdoor-deri-kar-botu-kahverengi-35-38-sh500/_/R-p-307314?mc=8739087&c=MAV%C4%B0,outdoor_sporlar,Quechua,₺2.650,,1011
19,307322,https://www.decathlon.com.tr/p/cocuk-su-gecirmez-outdoor-kar-botu-turuncu-tarcin-24-34-sh500/_/R-p-307322?mc=8544119&c=PEMBE_MAV%C4%B0,outdoor_sporlar,Quechua,₺2.650,,2729
20,324197,https://www.decathlon.com.tr/p/kadin-outdoor-kar-botu-su-gecirmez-siyah-nh500/_/R-p-324197?mc=8927929&c=S%C4%B0YAH,outdoor_sporlar,Quechua,₺2.950,,857
21,305000,https://www.decathlon.com.tr/p/erkek-outdoor-kar-botu-su-gecirmez-sari-nh900/_/R-p-305000?mc=8901614&c=SARI,outdoor_sporlar,Quechua,₺4.750,,212
22,346646,https://www.decathlon.com.tr/p/erkek-outdoor-trekking-deri-bot-su-gecirmez-mt100/_/R-p-346646?mc=8801288&c=S%C4%B0YAH_GR%C4%B0,outdoor_sporlar,Simond,₺4.550,,499
23,331109,https://www.decathlon.com.tr/p/cocuk-su-gecirmez-outdoor-kar-botu-mor-gri-35-38-sh100/_/R-p-331109?mc=8861908&c=GR%C4%B0_MOR,outdoor_sporlar,Quechua,₺1.850,,1478
24,333165,https://www.decathlon.com.tr/p/cocuk-outdoor-kar-botu-su-gecirmez-lacivert-sh500/_/R-p-333165?mc=8861918&c=MAV%C4%B0,outdoor_sporlar,Quechua,₺2.650,,553
25,349835,https://www.decathlon.com.tr/p/erkek-outdoor-kar-botu-su-gecirmez-mavi-mh900-pro-mid/_/R-p-349835?mc=8826199&c=MAV%C4%B0,outdoor_sporlar,Quechua,₺6.090,,39
26,332020,https://www.decathlon.com.tr/p/erkek-outdoor-kar-botu-su-gecirmez-deri-kahverengi-nh500/_/R-p-332020?mc=8641979&c=KAHVERENG%C4%B0,outdoor_sporlar,Quechua,₺4.250,,863
27,344596,https://www.decathlon.com.tr/p/erkek-su-gecirmez-outdoor-deri-bot-kahverengi-mt500/_/R-p-344596?mc=8786155&c=KAHVERENG%C4%B0_GR%C4%B0,outdoor_sporlar,Simond,₺7.090,,553
28,331132,https://www.decathlon.com.tr/p/cocuk-su-gecirmez-outdoor-kar-botu-lacivert-24-34-sh100/_/R-p-331132?mc=8861912&c=GR%C4%B0_MOR,outdoor_sporlar,Quechua,₺1.850,,2003
29,133825,https://www.decathlon.com.tr/p/erkek-su-gecirmez-outdoor-kar-botu-siyah-sh100-mid/_/R-p-133825?mc=8640887&c=S%C4%B0YAH_GR%C4%B0,outdoor_sporlar,Quechua,₺1.790,,5077
30,346334,https://www.decathlon.com.tr/p/kadin-outdoor-kar-botu-su-gecirmez-siyah-nh100-mid/_/R-p-346334?mc=8873835&c=S%C4%B0YAH,outdoor_sporlar,Quechua,₺1.250,,510
31,342110,https://www.decathlon.com.tr/p/erkek-outdoor-kar-botu-siyah-nh100-mid/_/R-p-342110?mc=8752017&c=S%C4%B0YAH,outdoor_sporlar,Quechua,₺1.250,,484
